patient_id,first_name,last_name,dob,email,phone,insurance_carrier,member_id,group_id,is_returning,preferred_doctor,location,created_at
145.0,Kian,Singh,01-01-1994,kian.singh@email.com,9876543254.0,Max Bupa,MB66778,GRP105,False,,,
146.0,Fatima,Khan,28-08-1985,fatima.khan@email.com,9876543255.0,Star Health,SH88990,GRP101,True,,,
147.0,Sameer,Ali,03-03-1990,sameer.ali@email.com,9876543256.0,HDFC Ergo,HD11223,GRP102,False,,,
148.0,Aisha,Begum,14-10-1976,aisha.begum@email.com,9876543257.0,ICICI Lombard,IC33445,GRP103,False,,,
149.0,Imran,Hassan,25-12-2000,imran.hassan@email.com,9876543258.0,Bajaj Allianz,BA55667,GRP104,True,,,
150.0,Zoya,Ahmed,17-06-1997,zoya.ahmed@email.com,9876543259.0,Max Bupa,MB77889,GRP105,False,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Priya,Sharma,1995-03-22,kadali.hrv@gmail.com,,,,,,Dr. Verma,Main Clinic,2025-09-05 17:47:23
,Dolly,,2003-07-02,kadali.hrv540@gmail.com,,,,,,Dr. Sharma,Main Clinic,2025-09-05 17:56:38
,Bob,,1995-03-22,kadali.hrv540@gmail.com,,,,,,Dr. Verma,Main Clinic,2025-09-06 02:12:07
,Sharma,Sharma,1995-03-21,206m1a0540@gmail.com,,,,,,Dr. Sharma,Main Clinic,2025-09-06 02:21:24
,Harsha,Sharma,1995-03-22,kadali.hrv@gmail.com,,,,,,Dr. Sharma,Main Clinic,2025-09-06 02:44:20
